price,model_year,model,condition,cylinders,fuel,odometer,transmission,type,paint_color,is_4wd,date_posted,days_listed
59995,,ram 2500,like new,6,diesel,22635.0,automatic,truck,white,1.0,2018-06-02,52
15990,2001.0,gmc sierra 1500,good,8,gas,61030.0,automatic,truck,black,1.0,2018-06-19,13
28990,2011.0,ford econoline,good,10,gas,17037.0,automatic,bus,white,,2018-08-20,73
2850,1997.0,ford f150,good,8,gas,255040.0,manual,pickup,,1.0,2018-06-05,18
3700,2007.0,honda accord,fair,,gas,173600.0,manual,sedan,red,,2018-10-02,26
7000,2002.0,toyota tacoma,fair,6,gas,128200.0,automatic,truck,silver,1.0,2018-08-09,24
3900,2003.0,jeep liberty,good,4,gas,128872.0,automatic,SUV,brown,,2018-06-26,40
6500,2015.0,chrysler 200,good,4,gas,,automatic,sedan,blue,,2019-04-13,20
45000,2015.0,chevrolet corvette,like new,,gas,3681.0,automatic,coupe,white,,2018-08-13,25
35000,2008.0,ram 2500,excellent,,diesel,,automatic,truck,black,1.0,2018-08-31,32
8000,2008.0,ford f-250 super duty,good,10,gas,240000.0,manual,truck,red,,2019-04-13,49
20990,2009.0,ram 2500,good,,gas,107469.0,automatic,truck,white,1.0,2018-07-22,27
7000,2008.0,toyota camry,good,6,gas,,automatic,sedan,grey,,2018-10-20,93
1500,2008.0,ford fusion se,fair,4,gas,,manual,sedan,silver,,2018-12-27,99
5995,2005.0,toyota rav4,good,4,gas,124161.0,automatic,wagon,white,,2018-07-27,79
27475,2015.0,toyota tacoma,excellent,6,gas,54300.0,automatic,truck,grey,1.0,2018-08-02,23
7995,2008.0,toyota sienna,good,6,gas,162830.0,automatic,wagon,,1.0,2018-09-11,9
13995,,chevrolet silverado 1500,good,8,gas,114910.0,automatic,truck,black,1.0,2018-06-23,3
6800,2010.0,ford taurus,like new,6,gas,87000.0,automatic,sedan,black,,2018-05-26,21
7495,2006.0,chevrolet impala,good,8,gas,87930.0,automatic,sedan,black,,2019-01-26,26
1995,2001.0,toyota camry,good,4,gas,195894.0,automatic,sedan,custom,,2018-11-12,24
4995,2004.0,chevrolet suburban,good,8,gas,120455.0,automatic,wagon,custom,1.0,2019-02-01,54
20000,,ford f-150,excellent,6,gas,98000.0,automatic,pickup,,1.0,2018-05-06,25
17995,2017.0,nissan rogue,excellent,4,gas,37500.0,automatic,SUV,grey,1.0,2018-07-22,35
10000,2008.0,chevrolet silverado 1500,good,8,gas,143900.0,automatic,truck,silver,,2019-01-14,13
3000,2006.0,ford focus,good,4,gas,,automatic,sedan,brown,,2018-05-03,39
10595,2007.0,gmc sierra 1500,excellent,8,gas,171.0,automatic,truck,white,1.0,2018-06-14,99
